休息,0,石碇服務區,石碇區文山路一段6號,"(25.0077814,121.6323265)"
台電,1,捷運台電大樓站1號出口,臺北市中正區羅斯福路3段126之5號,"(25.0205742,121.5279607)"
行天宮,2,7-11權松門市,台北市松江路362號(行天宮後方),"(25.0597131,121.5331637)"
林口,3,A9捷運林口站,新北市林口區八德路290號,"(25.0658916,121.3620487)"
南崁,4,7-11北崁門市,蘆竹區中正路85號,"(25.0430864,121.2942585)"
湖口,5,7-11豐鈴門市,湖口鄉安宅四街2號,"(24.8710514,121.029543)"
楊梅,6,7-11新楊欣門市,楊梅區中山北路一段388號,"(24.9089654,121.1590196)"
新屋,7,全家-平鎮民族店,平鎮區民族路二段189號,"(24.9569229,121.203695)"
竹北,8,7-11縣運門市,竹北市莊敬南路21號,"(24.8198118,121.0219328)"
新竹,9,中油光明站,新竹市光復路二段1號,"(24.7909793,121.0041462)"
頭份,10,麥當勞-苗栗頭份店,頭份市中華路1335號,"(24.6929207,120.9143608)"
休息,11,泰安服務區,421台中市后里區月眉里九甲七路400號,"(24.3250582,120.7200078)"
台中,12,全家光明店,台灣大道三段730號(黎明路和中港路口),"(24.1711763,120.6367593)"
龍井,13,全家沙鹿大展店,自強路336號,"(24.0908142,120.5472429)"
彰化,14,台塑石油加油站,彰化市中央路292號,"(24.0683342,120.5263586)"
員林,15,萊爾富-彰湖店,溪湖鎮員鹿路一段253號,"(23.9533901,120.5028551)"
西螺,16,萊爾富便利商店雲好店,雲林縣莿桐鄉三和137之1號,"(23.7749145,120.4793991)"
斗南,17,全家-斗南大業店,斗南鎮大業路226號,"(23.6949571,120.464005)"
大林,18,統聯,嘉義縣大林鎮明和里305-1號,"(23.6118511,120.4371367)"
嘉義,19,7-11嘉高門市,嘉義市西區北港路1062號,"(23.4924254,120.3975016)"
新營,20,麥當勞,新營市復興路684號,"(23.3059486,120.2955164)"
麻豆,21,7-11麻佳門市,台南市麻豆區苓子林17-113號,"(23.1801194,120.2318626)"
永康,22,萊爾富-永康上永店,永康區中正北路314號,"(23.0415846,120.2476551)"
休息,23,仁德服務區,仁德區中洲1之16號,"(22.9063136,120.2503931)"
路竹,24,7-11環球門市,高雄市路竹區環球路201之27號,"(22.8800211,120.2720267)"
楠梓,25,統聯客運楠梓站,楠梓區興楠路263號(交流道下來右手邊),"(22.729777,120.333537)"
高雄,26,摩斯漢堡高雄中正店,苓雅區中正一路122號,"(22.628327,120.332345)"
南州,27,7-11壽元門市,南州鄉勝利路5之15號,"(22.4915353,120.5373739)"
屏東,28,全家長治店,長治鄉水源路195號,"(22.6967548,120.557154)"
